# FileBox Index v1.0
# rootDir: C:\Users\matte\Pictures
# generatedAt: 2025-09-30T08:44:39.610270600Z
# fields=relativePath	size	mtimeMillis
======================
Camera Roll\desktop.ini	190	1707464521243
Camera Roll\Shortcut to Camera Roll (OneDrive - Personal).lnk	1957	1707464521252
desktop.ini	504	1733599699571
Screenpresso\2025-09-02_07h20_43.png	248751	1756790443192
Screenpresso\2025-09-02_07h25_20.png	251484	1756790720412
Screenpresso\2025-09-02_08h33_41.png	6988311	1756794822006
Screenpresso\2025-09-02_09h38_06.png	871014	1756798686038
Screenpresso\2025-09-02_09h38_10.png	905790	1756798690704
Screenpresso\2025-09-02_14h46_49.png	412578	1756817209531
Screenpresso\2025-09-03_11h24_36.png	27686	1756891476406
Screenpresso\2025-09-04_13h16_30.png	45877	1756984590939
Screenpresso\2025-09-04_13h20_26.png	57004	1756984826685
Screenpresso\2025-09-04_13h23_22.png	7491	1756985002046
Screenpresso\2025-09-05_10h02_39.png	394222	1757059359861
Screenpresso\2025-09-05_10h04_55.png	13091	1757059495839
Screenpresso\2025-09-05_13h28_29.png	216897	1757071709168
Screenpresso\2025-09-06_11h00_26.png	21911	1757149226835
Screenpresso\2025-09-06_16h26_57.png	123767	1757168817024
Screenpresso\2025-09-06_18h06_19.png	46206	1757174779830
Screenpresso\2025-09-07_13h55_08.png	6458339	1757246109101
Screenpresso\2025-09-07_14h21_05.png	1656099	1757247665841
Screenpresso\2025-09-08_07h20_31.png	294443	1757308831911
Screenpresso\2025-09-09_13h38_44.png	4874	1757417924823
Screenpresso\2025-09-11_06h36_42.png	19302	1757565402359
Screenpresso\2025-09-16_20h18_26.png	764845	1758046706197
Screenpresso\2025-09-17_16h18_21.png	159764	1758118701112
Screenpresso\2025-09-19_12h18_12.png	870362	1758277092371
Screenpresso\Thumbnails\2025-09-02_07h20_43.png	5563	1756790443271
Screenpresso\Thumbnails\2025-09-02_07h25_20.png	5282	1756790720467
Screenpresso\Thumbnails\2025-09-02_08h33_41.png	18989	1756794822332
Screenpresso\Thumbnails\2025-09-02_09h38_06.png	16587	1756798686112
Screenpresso\Thumbnails\2025-09-02_09h38_10.png	14268	1756798690784
Screenpresso\Thumbnails\2025-09-02_14h46_49.png	30648	1756817209657
Screenpresso\Thumbnails\2025-09-03_11h24_36.png	2546	1756891476565
Screenpresso\Thumbnails\2025-09-04_13h16_30.png	5482	1756984591061
Screenpresso\Thumbnails\2025-09-04_13h20_26.png	4883	1756984826737
Screenpresso\Thumbnails\2025-09-04_13h23_22.png	2448	1756985002079
Screenpresso\Thumbnails\2025-09-05_10h02_39.png	10847	1757059360000
Screenpresso\Thumbnails\2025-09-05_10h04_55.png	3884	1757059495872
Screenpresso\Thumbnails\2025-09-05_13h28_29.png	3843	1757071709323
Screenpresso\Thumbnails\2025-09-06_11h00_26.png	11082	1757149226935
Screenpresso\Thumbnails\2025-09-06_16h26_57.png	7680	1757168817148
Screenpresso\Thumbnails\2025-09-06_18h06_19.png	4580	1757174779877
Screenpresso\Thumbnails\2025-09-07_13h55_08.png	14037	1757246109559
Screenpresso\Thumbnails\2025-09-07_14h21_05.png	4928	1757247665959
Screenpresso\Thumbnails\2025-09-08_07h20_31.png	7447	1757308832050
Screenpresso\Thumbnails\2025-09-09_13h38_44.png	2376	1757417924976
Screenpresso\Thumbnails\2025-09-11_06h36_42.png	5035	1757565402505
Screenpresso\Thumbnails\2025-09-16_20h18_26.png	8786	1758046706357
Screenpresso\Thumbnails\2025-09-17_16h18_21.png	8583	1758118701242
Screenpresso\Thumbnails\2025-09-19_12h18_12.png	25773	1758277092516
Screenshots\desktop.ini	190	1707464521229
Screenshots\Screenshot 2025-01-20 083128.png	105025	1737358288174
Screenshots\Screenshot 2025-01-20 092943.png	83543	1737361783285
Screenshots\Screenshot 2025-01-20 093218.png	53021	1737361938800
Screenshots\Screenshot 2025-01-20 210234.png	151060	1737403354855
Screenshots\Screenshot 2025-01-20 210258.png	63506	1737403378760
Screenshots\Screenshot 2025-03-20 081114.png	1533186	1742454674853
Shortcut to Pictures (OneDrive - Personal).lnk	1758	1707464521245
======================
Found #files=59, totalBytes=23079625 durationMillis=13 ms
